glove	respect
oval	the vagina, womb and feminine qualities
november	your indifference to a situation or problem
mammogram	you are doubting the power of your femininity
foam	light heartedness and pleasure
smoke	your ignorance in some matter is doing your harm
oatmeal	control over the destiny of someone close to you
nutmeg	a warm and loving home life
grindstone	vitality and well-directed energy which will lead to prosperity
daredevil	you need to take a risk and be more "daring" in some situation
garden	your hard work and diligence will pay off in the end
swimming	you are completely submerged in your own feelings
sport	the learning of rules, recognition of your talents, and the achieving of your goals
rare	you need to appreciate certain things
police	your own sense of morality and conscience
nursery	spiritual development, potential, growth and transformation
finch	you are being underestimated based on your appearance or size
asia	you need to adjust to some situation
gift	you are being rewarded and recognized for your generosity and giving nature
harbor	shelter from a stormy relationship or chaotic situation
portal	new opportunities that are presented before you
bow_and_arrow	a combination of female and male energies
woodchuck	subconscious material that is coming to the surface
abortion	you are hindering and blocking your own growth
tight	you are feeling at ease in exposing aspects of your Self
chess	you need to carefully think through the situation before making a decision
primrose	purity, youth, and vitality
settle	you need to free yourself from the burdens and responsibilities you are faced with in your waking life
oral_sex	your willingness to give or receive pleasure/joy
roller_skate	balance or lack of balance in your life
mistletoe	joyous occasions and happiness
light	illumination, clarity, guidance, plain understanding, and insight
tandem	a strong and solid partnership
hershey's_kiss	a sweetheart or some sweet love in your life
teal	your spiritual freedom (
flying_saucer	your desires 
potato_bug	your intuition or subconscious desire
wet	you are overcome with emotions
grandfather_clock	the past or a passage of time
hello_kitty	the youthful side of your persona
beach_ball	your playful and lighthearted emotions
police	you have yet to acknowledge your own authoritativeness in a situation
taurus	determination, practicality, stubbornness, perseverance and willpower
lighthouse	you are seeking guidance during a difficult and tumultuous time
train_station	a transitional period in your life
jogging	you are proceeding through life at a steady pace
check	your unused potential
black_cat	you are experiencing fear in using your psychic abilities and in believing in your intuition
countryside	you are seeking a simpler way of life
attack	your character is being questioned
queen_of_heart	your pompous and arrogant attitude
rabbi	your attitudes about Judaism
wish	there is something you are longing that for and missing in your life
tocsin	you will win over an argument
